question,link,images,answers
RelatedCan a Muslim visit the Tirupati Balaji Temple?,https://www.quora.com/Can-a-Muslim-visit-the-Tirupati-Balaji-Temple,,Yes a Muslim or for that matter anyone belonging to any religion can visit Tirupati Balaji temple. One is required to sign a statement of belief in Lord Balaji. That is the legal entry. Generally one is not stopped if one does not wear any dress showing that he/she belongs to any religion other than Hinduism. That is illegal and I do not suggest it even though it is easy. Now how about religious sanction? It is time to talk of the story of Bibi Nancharamma. A daughter of Malik Kafar ( aladdin Khilji’s general) accompanied her father during his conquest of South India and became a devotee of Lord Venkateswara. Even after going back to Delhi she could not be diverted. Finally she reached Tirumala and Balaji took her as his consort. So there is religious sanction for any devotee having Lord’s Darsan. It may be pointed out that Muslims throng to the temple and worship Lord Venkateswara in Kadapa on Telugu new year’s day. Kadapa is considered the threshold of Lord Venkateswara’s residence.
RelatedWhat are the benefits of visiting Tirupati Balaji temple?,https://www.quora.com/What-are-the-benefits-of-visiting-Tirupati-Balaji-temple,https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png | https://qph.cf2.quoracdn.net/main-qimg-3839b3e873b68c2297784d5c9fb1b5b4-lq | https://qph.cf2.quoracdn.net/main-qimg-b0e140ea151936d0a2dba2022277bb89-lq | https://qph.cf2.quoracdn.net/main-qimg-f9ab6e9ee545276bee1b756ce3aa3c0e-lq | https://qph.cf2.quoracdn.net/main-qimg-3839b3e873b68c2297784d5c9fb1b5b4-lq | https://qph.cf2.quoracdn.net/main-qimg-b0e140ea151936d0a2dba2022277bb89-lq | https://qph.cf2.quoracdn.net/main-qimg-f9ab6e9ee545276bee1b756ce3aa3c0e-lq | https://qph.cf2.quoracdn.net/main-qimg-9355bc086505fb68c11e5a3fa08b7abc-lq | https://qph.cf2.quoracdn.net/main-qimg-8626245f490c57de55d96d57b2ca8bc8-lq | https://qph.cf2.quoracdn.net/main-qimg-5d31848c69fad9abe7ee8c5ccb52b3cb-lq,U will definitely experience god in anyway in tirumala hills.He will make u feel his presence.U will feel calm by the nature of tirumala hills especially if u prefer steps(alipiri) to climb the hill.U will be urself atleast for one day without any tension even if u have leave them at the feet of lord.U will experience eye feast by looking at lord Venkateswara Swamy in his most favourite attire with ornamentspanchikattuand tilak at forehead and pachakarpura at his tiny chin and a well decorated Abhayahastha with several rathnas and many more garlands also decorated to him.Finally after darshContinue ReadingU will definitely experience god in anyway in tirumala hills.He will make u feel his presence.U will feel calm by the nature of tirumala hills especially if u prefer steps(alipiri) to climb the hill.U will be urself atleast for one day without any tension even if u have leave them at the feet of lord.U will experience eye feast by looking at lord Venkateswara Swamy in his most favourite attire with ornamentspanchikattuand tilak at forehead and pachakarpura at his tiny chin and a well decorated Abhayahastha with several rathnas and many more garlands also decorated to him.Finally after darshanu will get the world famous and most delicious prasad of tirumala balaji that is nothing but laddu made of pure ghee and lot of cashews .It will melt in ur mouth. U will never forget.U can also have free annaprasada at vengamamba annaprasada satram. If u have more timeu can visit sreevari padalusilathoranam japali theertham etc. Om namo venkatesaya
RelatedWas Tirupati Balaji Temple an old Buddhist temple?,https://www.quora.com/Was-Tirupati-Balaji-Temple-an-old-Buddhist-temple,https://qph.cf2.quoracdn.net/main-qimg-cf06bbf2d12900883a8ec41b483fc1f0-lq | https://qph.cf2.quoracdn.net/main-qimg-46e34402c52f0e308ca5ba77fe875829-lq | https://qph.cf2.quoracdn.net/main-qimg-327451c683144f95d49b938e8599182b.webp | https://qph.cf2.quoracdn.net/main-qimg-1ee87e4294d1cd8560db4d0a7f1f0d18,A big NO. This was a propaganda spread by the anti Hindus who quote from a book written by K. Jamanadas.This was the book.☝️ Wait let me give sometime to read the hoaxes in this book and laugh at them😀.Lol all hindu deities and holy places are Buddhists according to him 😝😝😝 According to him Lord Ayyappa also Buddhist 😀😀🙏 K. Jamandas is a Dravidian separatist a pseudo buddist and a christian in disguise of Buddhist 🤦🏻‍♂️ Tirupati is always the abode of Lord Vishnu and it is the Bhu Loka Vaikunta.Jai Balaji Om Namo Venkatesha 🚩
RelatedWhat are some unknown facts about the Tirupati Balaji Temple?,https://www.quora.com/What-are-some-unknown-facts-about-the-Tirupati-Balaji-Temple,https://qph.cf2.quoracdn.net/main-qimg-1b1ed26c04aa066449d5d34f5487272d-lq | https://qph.cf2.quoracdn.net/main-qimg-0ed2a4956bee4983795bb2e13b0d8d50.webp | https://qph.cf2.quoracdn.net/main-qimg-1b1ed26c04aa066449d5d34f5487272d-lq | https://qph.cf2.quoracdn.net/main-qimg-0ed2a4956bee4983795bb2e13b0d8d50.webp | https://qph.cf2.quoracdn.net/main-qimg-349b9da568420758d7a528cbf780a9cc.webp | https://qph.cf2.quoracdn.net/main-qimg-f463e6394c350fa96812ae0fad524eb9.webp | https://qph.cf2.quoracdn.net/main-qimg-3c1d23a49826c1cba26c013b2263303e.webp | https://qph.cf2.quoracdn.net/main-qimg-a43c021e59bfb6536aecc1502e2eb312.webp | https://qph.cf2.quoracdn.net/main-qimg-3448f14b04167c4f1da243174316c67a.webp | https://qph.cf2.quoracdn.net/main-qimg-391d7f31d58c3fc4ffb3c1339d153772.webp | https://qph.cf2.quoracdn.net/main-qimg-9e3d76d7cc787171aa40e35b3185dcd9.webp | https://qph.cf2.quoracdn.net/main-qimg-d6bbb7a2a582855cb9bc906486f3d76e.webp,1. At the Mahadwaram of the temple To the left side there is an Crowbar by which Ananthatalvar had hit Lord Venkateshwara swamy on the chin when swamy was in his childhood which oozed blood. Since then the tradition of applying sandalwood to his chin came into existence.​ 2. It is said that there is real hair to the Idol of Lord Venkateshwara Swamy and is rumoured that knots never ever appear in this hair.​ 3. At a distance of 22 km from this sacred place there exists an village where no one is allowed except the residents of the village. The women of the village have a tradition of not weariContinue Reading1. At the Mahadwaram of the temple To the left side there is an Crowbar by which Ananthatalvar had hit Lord Venkateshwara swamy on the chin when swamy was in his childhood which oozed blood. Since then the tradition of applying sandalwood to his chin came into existence.​ 2. It is said that there is real hair to the Idol of Lord Venkateshwara Swamy and is rumoured that knots never ever appear in this hair.​ 3. At a distance of 22 km from this sacred place there exists an village where no one is allowed except the residents of the village. The women of the village have a tradition of not wearing blouse. The Village has a garden of flowers from where the flowers are fetched and used in at the sanctum of the Lord Venkateswara Swamy. Not Just flowers items like Milk Ghee Butter and all others used for the worship of the lord are brought just from this village only. ​ 4. The state of the is assumed to be at the centre of the sanctum but instead it is established to the right corner. You could know this when observed for outside.​ 5. Every day the idol of the god is decorated at the bottom with an Dhoti and with a saree on the top. There exists an service that costs Rs.50000/- and the couple participating in this service will be given presented with this pair( Dhoti for Men and Saree for Women). The chance of getting this service is very rare as the number of tickets will be very less.​ Also Read : Tirumala Tirupati Unseen Old Images6. The flowers used in the sanctum will be never brought out of the sanctum. These flowers are leaved(facing forward and leaving behind) in an small water fall that exists behind the idol of the swamy.​ 7.You can hear the sound of an ocean when your place an ear on the back of lord and no matter how many times you clean the back there exists moisture on the back of the idol.​ 8. On the chest of the Lord Lakshmi Devi Image is imprinted. Every Thursday during “Nijarupa Darshanam” the lord will be decorated with Sandalwood. While removing this Sandalwood the Mold of Lakshmi Devi will be obtained which is kept for sale.​ Also Read : Top 8 South Indian Sacred Historical Temples9. The oil lamps in front of the idol of the lord are never ever put off and no one knows the day they are lit up. But for sure they are lit thousands of years ago.​ 10. As said above one of the priest of the temple will discards all the used items of the sanctum in the water fall behind the idol of the lord and no one is allowed to look at the back the whole day. All this discarded items will emerge at a place called Verpedu(located on the way to kalahasti) which is 20km from this sacred place.​ 11. During 1800’s this temple is closed for 12 years. A King of unknown name of that time is said to kill 12 people at the temple and hang them to the wall for doing unsacred thing at the temple. At this time it is said that Vimana Venkateswara have came to existence.
RelatedWhy was the Tirupati Balaji temple closed down for 12 years in 1800?,https://www.quora.com/Why-was-the-Tirupati-Balaji-temple-closed-down-for-12-years-in-1800,,Every place has got its own significance in one's society or life. What happens in a hospital is treatment and in police station is punishment for the accused. In a burial ground dead bodies are burnt but in play grounds or parks people play or enjoy the ambience. In this way we can give many examples. These activities cannot be exchanged or replaced as it would look absurd undesirable and spoils the very purpose of that place. Just imagine if dead bodies are burnt or if somebody is hanged in a public relaxing park can anyone go there for that purpose? In 1800 there was psychic king and as such his mind was not in his control this king wanted to give punishment for criminals in a different way so as to stop further crimes in his kingdom hence he killed 12 criminals as punishment and hanged their dead bodies in the entrance of Thirumala temple and took it granted for himself that people will now be scared to commit offences as the devotees would think that the Lord will further punish them in their next lives. Temples are meant for prayers and take blessings from the Lord and crimes committed by an individual are liable for punishment by God no matter where he dies or hanged o...Access this answer and support the author as a Quora+ subscriberAccess all answers reserved by Great MILE for Quora+ subscribersAccess exclusive answers from thousands more participating creators in Quora+Browse ad‑free and support creatorsStart free trialLearn more
RelatedDo you like visiting Hindu temples?,https://www.quora.com/Do-you-like-visiting-Hindu-temples,,Yes. Before answering it completely I would like to get certain perspectives out of the way. There are essentially 3 different types of Hindu temples today In traditional sense Hindu temples are designed with the following in mind:Rendition of the history and art of the ancient timesHonoring the Devta or Devi (God or Goddess) which is the principle Avatar of the Supreme in the shrine through beautiful and colorful decorationsDesigned for peace and increase of spiritual aura; right from the choice of flooring walls the ambiance expected to the metallurgical composition of the temple bell. (YeContinue ReadingYes. Before answering it completely I would like to get certain perspectives out of the way. There are essentially 3 different types of Hindu temples today In traditional sense Hindu temples are designed with the following in mind:Rendition of the history and art of the ancient timesHonoring the Devta or Devi (God or Goddess) which is the principle Avatar of the Supreme in the shrine through beautiful and colorful decorationsDesigned for peace and increase of spiritual aura; right from the choice of flooring walls the ambiance expected to the metallurgical composition of the temple bell. (Yes it has a science behind it)Visiting temples gives a sense of happiness and peace which are two most important emotions to live in today’s tense world. It is a beautiful feeling.
RelatedHow many COVID-19 cases have been linked to Tirupati temple where on average 40000 devotee visit daily? Temple was open till March 18th 2020.,https://www.quora.com/How-many-COVID-19-cases-have-been-linked-to-Tirupati-temple-where-on-average-40-000-devotee-visit-daily-Temple-was-open-till-March-18th-2020,,I live in Tirupati so i feel answering this question☺️ Presently no single case is linked to the Tirumala (Tirupati temple) but one single person is suspended of covid and he has been well tested and report came to be negative. So there's no need to worry about mass spreading in tirupati temple☺️ Stay home stay safe Jai hind 🇮🇳
RelatedWhy do many people visit Tirupati Balaji?,https://www.quora.com/Why-do-many-people-visit-Tirupati-Balaji,https://qph.cf2.quoracdn.net/main-qimg-1b0979b97c69549be5b2d90d93a8daab-lq,Well that's a tough one even for Lord Venkateshwara's ardent devotees I've heard a story not sure if it's authentic. It's said that the great Adi Shankara climbed up the Tirumala hill on his knees for darshan of the Lord Upon his visit it is said that he engraved a chakra yantra called Akarshana chakra inside the Sanctum Sanctorum Garba Gruha just beside the Lord This chakra attracts people like anything and since then the graph of every imaginable statistics of this temple has gone up year on year be it devotees queuing up for darshan Laddu sales Hundi collection even the amount collected from the sale of human hair donated by the devotees Adi Shankara has engraved similar chakra yantras in several temples but this one is a unique Akarshana Chakra TTD means every info is mind blowing for example Pls see attached a monthly statistics of January 2018Disclaimer: this info about Adi Shankara was told to me by a TTD priest not sure how far it's true. Namo Venkatesha Sheegrameva Srivari Darshanam Praapti Rasthu
RelatedIs Kaaba a Shiv Temple?,https://www.quora.com/Is-Kaaba-a-Shiv-Temple,https://qph.cf2.quoracdn.net/main-qimg-95c9df51be8cc50d26b9bd6d732a124b-lq | https://qph.cf2.quoracdn.net/main-qimg-7576c4e054a448007499d137d461f699-lq | https://qph.cf2.quoracdn.net/main-qimg-95c9df51be8cc50d26b9bd6d732a124b-lq | https://qph.cf2.quoracdn.net/main-qimg-7576c4e054a448007499d137d461f699-lq | https://qph.cf2.quoracdn.net/main-qimg-2f39b7c2948b73b72030b574f07e83c2-lq | https://qph.cf2.quoracdn.net/main-qimg-2894a6e61fd167dd39bc5dde6317703e-lq,No. It was an Arabian Pagan temple. There are some funny answers here one points at a pillar to prove a point another one claims that Vikramaditya ruled Arabia. Social media played a huge role in fueling this rumour. Memes like this are doing rounds :Truth is Kaaba is not a Shiva temple. Before Mohammad started preaching a new religion the Arabians followed Arabian Paganism - a polytheistic faith system. [1] Kaaba was a holy site for Arabian Pagans and it hosted the idols of the pagan deities. The chief deity was Hubal - the moon god.After the invasion of Mecca Mohammad took over Kaaba and destroyContinue ReadingFootnotes[1] Religion in pre-Islamic Arabia - WikipediaNo. It was an Arabian Pagan temple. There are some funny answers here one points at a pillar to prove a point another one claims that Vikramaditya ruled Arabia. Social media played a huge role in fueling this rumour. Memes like this are doing rounds :Truth is Kaaba is not a Shiva temple. Before Mohammad started preaching a new religion the Arabians followed Arabian Paganism - a polytheistic faith system. [1] Kaaba was a holy site for Arabian Pagans and it hosted the idols of the pagan deities. The chief deity was Hubal - the moon god.After the invasion of Mecca Mohammad took over Kaaba and destroyed the idols present in the Kaaba. Since then it became a holy site for Muslims.Kaaba and Shivalinga rumour : The credit for linking Shivalinga with Arabs goes to Savarkar. In his book “Six glorious epochs of Indian history “ In paragraph 650 he claims Arabians worshipped Shivalinga. [2]Let’s not blame Savarkar entirely for the rumour. The rumour has a long history. The Islamic rumour about Somnath Lingam : In fact early Muslims thought that the Idol of Somnath Linga was the statue of Arabian pagan goddess. Romilla Thapar wrote : [3] “A major poet of the eastern Islamic world Farrukhi Sistani who claims that he accompanied Mahmud to Somanatha provides a fascinating explanation for the breaking of the idol. This explanation has been largely dismissed by modern historians as too fanciful but it has a significance for the assessment of iconoclasm. According to him the idol was not of a Hindu deity but of a pre-Islamic Arabian goddess. He tells us that the name Somnat (as it was often written in Persian) is actually Su-manat the place of Manat. We know from the Qur'an that Lat Uzza and Manat were the three pre-Islamic goddesses widely worshipped and the destruction of their shrines and images it was said had been ordered by the Prophet Mohammad. Al-lat Manat and Al-Uzza :Two were destroyed but Manat was believed to have been secreted away to Gujarat and installed in a place of worship. According to some descriptions Manat was an aniconic block of black stone so the form could be similar to a lingam. This story hovers over many of the Turko-Persian accounts some taking it seriously others being less emphatic and insisting instead that the icon was of a Hindu deity. THE identification of the Somanatha idol with that of Manat has little historical credibility. There is no evidence to suggest that the temple housed an image of Manat. Nevertheless the story is significant to the reconstruction of the aftermath of the event since it is closely tied to the kind of legitimation which was being projected for Mahmud.”It is interesting to note that early Muslims believed the rumour that Somnath Idol was that of Al-manat’s idol. While today’s far right Hindus believe Kaaba was a Shiva temple which hosted a Linga.Footnotes[1] Religion in pre-Islamic Arabia - Wikipedia[2] https://savarkar.org/en/pdfs/6_Glorious_Epochs_of_Indian_History.pdf[3] txt_thapar_somnath
RelatedWhich temples are more interesting and rewarding to visit- buddhist temples or hindu temples?,https://www.quora.com/Which-temples-are-more-interesting-and-rewarding-to-visit-buddhist-temples-or-hindu-temples,,If you are visiting temples for "rewards" then as per my best understanding - its neither. But if you plan to visit a temple out of devotion and respect for the unknowable then whether you visit hindu temple or buddhist one or whether you visit a church or a mosque or any other place of worship or even if you do not visit any of the above and just sit in silence and contemplate on the unknowable the deed is done Love
